surface_habitable_logement,annee_construction,periode_construction,type_batiment,type_energie_principale_chauffage,type_generateur_chauffage_principal,emission_ges_chauffage,emission_ges_ecs,emission_ges_eclairage,emission_ges_5_usages,emission_ges_5_usages_par_m2,etiquette_ges,code_postal_ban,nom_commune_ban
136.1,1947.0,avant 1948,maison,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",829.4,152.3,17.1,1035.3,7.0,B,67110.0,Reichshoffen
48.2,1978.0,1978-1982,appartement,Électricité,Plancher ou plafond rayonnant électrique avec régulation terminale,180.9,117.4,6.3,7.5,7.5,B,92190.0,Meudon
144.4,2010.0,2006-2012,appartement,Électricité,Plancher ou plafond rayonnant électrique sans régulation terminale,595.7,245.1,18.5,922.7,6.3,B,74120.0,Demi-Quartier
128.0,,1975-1977,maison,Fioul domestique,Chaudière fioul basse température après 2015,6126.0,169.1,16.7,6343.9,49.0,D,14740.0,Thue et Mue
70.8,1989.0,1989-2000,appartement,Électricité,Radiateur électrique à accumulation,221.4,118.3,9.2,376.3,5.0,A,91230.0,Montgeron
34.6,1994.0,1989-2000,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",185.1,107.7,4.5,310.5,8.9,B,93120.0,La Courneuve
57.5,1958.0,1948-1974,appartement,Gaz naturel,Chaudière gaz standard après 2015,2366.9,430.1,7.5,2814.1,48.0,D,13015.0,Marseille
63.0,1948.0,1948-1974,maison,Bois – Bûches,Chaudière bois bûche 1978-1994,1480.2,117.3,8.1,1617.1,25.0,C,63880.0,Olliergues
64.2,1969.0,1948-1974,appartement,Gaz naturel,Chaudière gaz basse température après 2015,21.5,2.7,0.1,4431.2,69.0,E,10120.0,Saint-André-les-Vergers
58.2,1965.0,1948-1974,appartement,Gaz naturel,Chaudière gaz à condensation 2001-2015,17.2,3.8,0.1,3527.4,60.6,E,78000.0,Versailles
66.2,2007.0,2006-2012,appartement,Électricité,Radiateur électrique à accumulation,160.4,133.9,8.6,328.5,4.0,A,77340.0,Pontault-Combault
125.0,,avant 1948,maison,Électricité,"Convecteur électrique NFC, NF** et NF***",1095.0,145.0,16.3,1292.7,10.0,B,62940.0,Haillicourt
49.8,1947.0,avant 1948,appartement,Électricité,Radiateur électrique à accumulation,319.6,117.6,6.5,452.9,9.0,B,77610.0,Fontenay-Trésigny
49.0,1985.0,1983-1988,appartement,Électricité,Autres émetteurs à effet joule,199.0,119.2,6.4,343.0,7.0,B,92400.0,Courbevoie
164.7,1949.0,1948-1974,appartement,Gaz naturel,Chaudière gaz classique 1986-1990,5411.3,1053.8,21.1,6571.6,39.9,D,74560.0,Monnetier-Mornex
162.5,1978.0,1978-1982,maison,Électricité,"Convecteur électrique NFC, NF** et NF***",1196.0,150.2,21.3,1440.7,8.0,B,83680.0,La Garde-Freinet
67.0,1970.0,1948-1974,appartement,Réseau de Chauffage urbain,,577.7,123.4,8.4,748.4,11.1,C,67000.0,Strasbourg
30.2,2012.0,2013-2021,appartement,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",92.1,103.9,3.9,210.3,6.0,A,93100.0,Montreuil
91.6,1981.0,1978-1982,maison,Gaz naturel,Chaudière gaz à condensation après 2015,1616.4,514.3,11.9,2173.4,23.7,C,76290.0,Montivilliers
20.2,1947.0,avant 1948,appartement,GPL,Chaudière gpl/propane/butane à condensation 2001-2015,1049.2,831.0,2.6,1903.6,94.0,F,22810.0,Plounévez-Moëdec
68.9,,2013-2021,appartement,Gaz naturel,Chaudière gaz à condensation après 2015,458.7,348.2,9.4,836.8,12.0,C,33600.0,Pessac
71.8,1976.0,1975-1977,appartement,Électricité,"radiateur électrique NFC, NF** et NF***",281.9,147.5,9.4,452.0,6.2,B,60112.0,Troissereux
87.7,1920.0,avant 1948,maison,Gaz naturel,Chaudière gaz basse température après 2015,5471.0,124.4,11.5,5625.9,64.1,E,13010.0,Marseille
83.0,1976.0,1975-1977,appartement,Réseau de Chauffage urbain,Réseau de chaleur non isolé,294.9,218.1,3.1,505.2,6.0,B,38470.0,Vinay
77.0,1961.0,1948-1974,appartement,Réseau de Chauffage urbain,réseau de chaleur non répertorié ou inconnu,1234.9,991.7,2.9,1959.6,25.3,C,78380.0,Bougival
85.3,2019.0,2013-2021,maison,Électricité,PAC air/eau installée après 2017,108.0,37.6,11.6,2.3,2.3,A,33290.0,Blanquefort
95.0,2013.0,2013-2021,maison,Bois – Bûches,Poêle à granulés flamme verte installé entre 2012 et 2019,189.6,34.3,12.9,245.2,2.0,A,33750.0,Saint-Quentin-de-Baron
66.0,2004.0,2001-2005,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",167.6,122.9,9.0,324.0,4.0,A,84000.0,Avignon
43.4,1989.0,1989-2000,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",141.4,96.2,5.7,261.8,6.0,B,83140.0,Six-Fours-les-Plages
91.6,1948.0,1948-1974,appartement,Gaz naturel,Chaudière gaz standard après 2015,14.0,1.9,0.1,4215.4,46.0,D,34000.0,Montpellier
78.0,1971.0,1948-1974,appartement,Gaz naturel,Chaudière gaz standard 1991-2000,1683.4,653.0,10.2,30.6,30.6,D,,
250.0,1947.0,avant 1948,maison,Fioul domestique,Chaudière fioul standard 1991-2015,6571.2,950.3,32.1,7605.2,30.0,D,63260.0,Thuret
19.9,2008.0,2006-2012,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",40.3,72.0,2.6,127.0,6.0,A,31400.0,Toulouse
36.6,,1948-1974,appartement,Gaz naturel,Chaudière gaz classique avant 1981,1673.4,417.8,4.8,2112.1,57.0,E,6800.0,Cagnes-sur-Mer
19.2,1900.0,avant 1948,appartement,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",1.6,5.5,0.1,126.2,6.5,A,69003.0,Lyon
71.0,1969.0,1948-1974,appartement,Réseau de Chauffage urbain,Réseau de chaleur non isolé,421.1,376.2,2.7,715.6,10.0,B,94240.0,L'Haÿ-les-Roses
52.0,,avant 1948,appartement,Électricité,"radiateur électrique NFC, NF** et NF***",245.4,91.6,7.1,353.7,6.0,B,33800.0,Bordeaux
145.0,1948.0,1978-1982,maison,Électricité,Chaudière fioul classique 1976-1980,17.2,1.2,0.1,7105.0,49.0,D,71540.0,Reclesne
15.3,1989.0,1989-2000,appartement,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",44.9,12.3,2.0,61.6,4.0,A,78350.0,Jouy-en-Josas
74.0,1961.0,1948-1974,appartement,Réseau de Chauffage urbain,Réseau de chaleur non isolé,82.7,77.8,2.8,177.1,2.3,A,94380.0,Bonneuil-sur-Marne
58.0,1948.0,1948-1974,maison,Gaz naturel,Chaudière gaz standard 1991-2000,4671.4,574.7,7.6,5267.8,90.0,F,35000.0,Rennes
177.0,1982.0,1978-1982,maison,Gaz naturel,Chaudière gaz standard 2001-2015,3598.1,575.0,23.1,4233.2,23.0,C,78620.0,L'Étang-la-Ville
122.1,1973.0,1948-1974,appartement,Gaz naturel,Chaudière gaz standard 1991-2000,2367.5,1675.3,16.0,4129.1,33.8,D,6800.0,Cagnes-sur-Mer
44.6,,avant 1948,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",436.8,107.6,5.7,584.9,13.0,C,87000.0,Limoges
29.3,1985.0,1983-1988,maison,Électricité,"Convecteur électrique NFC, NF** et NF***",2.2,3.1,0.1,175.7,6.0,B,34350.0,Valras-Plage
90.4,1949.0,avant 1948,maison,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",3.4,2.2,0.2,522.3,5.7,A,79000.0,Niort
93.8,2022.0,après 2021,maison,Électricité,PAC air/air installée à partir de 2015,149.2,117.5,12.5,366.9,3.9,A,85150.0,Sainte-Foy
33.0,,1978-1982,appartement,Gaz naturel,Chaudière gaz à condensation après 2015,1099.8,893.5,4.3,2020.4,61.0,E,62140.0,Huby-Saint-Leu
60.6,1969.0,1948-1974,appartement,Gaz naturel,Chaudière gaz classique avant 1981,3286.3,1248.3,7.9,4554.7,75.0,F,91140.0,Villebon-sur-Yvette
18.3,1949.0,1948-1974,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",86.2,78.1,2.4,166.7,9.1,B,83300.0,Draguignan
40.8,1990.0,1989-2000,appartement,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",5.7,2.9,0.1,326.6,8.0,B,30240.0,Le Grau-du-Roi
111.6,1948.0,1948-1974,appartement,Gaz naturel,Chaudière gaz standard 2001-2015,3904.2,485.6,14.3,4475.5,40.0,D,69009.0,Lyon
131.0,1947.0,avant 1948,appartement,Gaz naturel,Chaudière gaz classique avant 1981,3987.9,898.4,17.1,4916.3,37.0,D,75007.0,Paris
225.0,1945.0,avant 1948,maison,Gaz naturel,Chaudière gaz standard 2001-2015,10855.3,774.8,29.3,11700.0,52.0,E,77169.0,Boissy-le-Châtel
83.0,1992.0,1989-2000,appartement,Gaz naturel,Chaudière gaz à condensation 2001-2015,1541.9,372.9,10.4,1974.5,23.0,C,57140.0,Woippy
56.3,1949.0,1948-1974,maison,Électricité,"radiateur électrique NFC, NF** et NF***",1102.5,82.5,7.3,1192.5,21.1,C,22510.0,Trébry
63.4,2002.0,2001-2005,appartement,Électricité,Autres émetteurs à effet joule,138.2,124.0,8.3,291.1,4.5,A,34130.0,Mudaison
88.4,2002.0,2001-2005,maison,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",368.1,120.9,11.6,500.6,5.0,A,13360.0,Roquevaire
50.2,2016.0,après 2021,appartement,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",99.3,29.3,1.5,135.9,2.7,A,11100.0,Narbonne
25.7,1978.0,1978-1982,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",208.2,86.1,3.4,297.6,11.0,B,6590.0,Théoule-sur-Mer
107.8,,après 2021,maison,Électricité,PAC air/air installée à partir de 2015,129.9,35.0,13.8,194.6,1.0,A,38300.0,Culin
73.0,,1948-1974,appartement,Gaz naturel,Chaudière gaz standard 2001-2015,2865.7,412.4,9.9,3337.8,45.0,D,31300.0,Toulouse
75.0,1992.0,1989-2000,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",169.0,374.8,9.8,582.8,7.7,B,59000.0,Lille
67.0,1880.0,avant 1948,appartement,Gaz naturel,Chaudière gaz à condensation après 2015,1444.1,376.3,8.7,1867.2,27.0,C,59500.0,Douai
36.0,1961.0,1948-1974,appartement,Gaz naturel,Chaudière gaz à condensation 2001-2015,1501.3,623.8,1.4,1960.6,54.4,E,94800.0,Villejuif
75.0,1981.0,1978-1982,maison,Électricité,"Convecteur électrique NFC, NF** et NF***",6.0,1.8,0.1,606.0,8.0,B,95630.0,Mériel
71.0,1900.0,avant 1948,appartement,Gaz naturel,Chaudière gaz à condensation 2001-2015,1847.5,434.0,9.5,2330.3,32.0,D,41350.0,Huisseau-sur-Cosson
21.0,,avant 1948,appartement,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",110.3,86.0,2.9,207.3,9.0,B,33000.0,Bordeaux
77.4,1981.0,1978-1982,appartement,Gaz naturel,Chaudière(s) gaz multi bâtiment modélisée comme un réseau de chaleur,1335.4,744.1,9.7,2139.8,27.6,C,10120.0,Saint-André-les-Vergers
68.0,2007.0,2006-2012,appartement,Gaz naturel,Chaudière gaz basse température 2001-2015,1096.2,269.7,8.7,20.8,20.7,C,73800.0,Porte-de-Savoie
74.0,1965.0,1948-1974,appartement,Gaz naturel,Chaudière gaz à condensation 1981-1985,1380.3,594.7,9.7,2020.2,27.3,C,13008.0,Marseille
14.2,,1948-1974,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",74.6,83.7,1.9,166.3,11.0,B,4260.0,Allos
64.0,1948.0,1948-1974,appartement,Gaz naturel,Chaudière gaz à condensation 2001-2015,1299.1,126.0,8.2,1470.4,22.0,C,69850.0,Saint-Martin-en-Haut
68.0,1961.0,1948-1974,appartement,Gaz naturel,Chaudière gaz standard 1991-2000,1196.1,586.4,2.6,1652.7,24.3,C,30170.0,Saint-Hippolyte-du-Fort
88.0,1981.0,1978-1982,appartement,Gaz naturel,Chaudière gaz à condensation 2001-2015,2685.0,479.0,11.7,3225.9,36.0,D,18390.0,Saint-Germain-du-Puy
44.0,,avant 1948,appartement,Gaz naturel,Chaudière gaz standard 1991-2000,886.0,357.5,5.7,1274.0,28.0,C,75006.0,Paris
91.0,1948.0,1948-1974,maison,Gaz naturel,Chaudière gaz à condensation 2001-2015,3328.3,439.3,11.4,3831.9,42.0,D,57500.0,Saint-Avold
75.0,1947.0,avant 1948,maison,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",1205.5,136.7,10.0,1371.7,18.0,C,72430.0,Noyen-sur-Sarthe
67.6,1947.0,avant 1948,maison,Fioul domestique,Chaudière fioul classique avant 1970,6173.8,112.5,8.8,6308.7,93.0,F,61500.0,Essay
53.1,1987.0,1983-1988,appartement,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",353.2,121.9,6.7,502.3,9.0,B,67120.0,Molsheim
212.0,1948.0,1948-1974,maison,Électricité,Radiateur électrique à accumulation,1636.4,193.3,28.9,1878.2,8.0,B,40130.0,Capbreton
17.4,2006.0,2006-2012,appartement,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",44.1,165.9,2.2,219.1,12.0,B,69007.0,Lyon
50.0,1972.0,1948-1974,maison,Électricité,PAC air/air installée à partir de 2015,269.0,101.2,6.5,384.2,7.0,B,,
75.0,1947.0,avant 1948,maison,Gaz naturel,Chaudière gaz basse température 1991-2000,2081.6,441.7,9.8,2545.1,33.0,D,29100.0,Douarnenez
114.0,2010.0,2006-2012,maison,Électricité,"Convecteur électrique NFC, NF** et NF***",4.5,1.3,0.1,684.1,6.0,B,66530.0,Claira
36.1,1930.0,avant 1948,appartement,Électricité,"radiateur électrique NFC, NF** et NF***",163.3,92.0,4.7,260.0,7.0,B,13006.0,Marseille
13.5,1980.0,1978-1982,appartement,Électricité,"radiateur électrique NFC, NF** et NF***",61.1,184.4,1.7,254.0,18.0,C,73210.0,Aime-la-Plagne
120.8,1948.0,1948-1974,appartement,Gaz naturel,Chaudière gaz standard 2001-2015,2208.9,556.0,15.5,2841.6,23.0,C,97429.0,Petite-ÃŽle
82.9,2006.0,2006-2012,maison,Gaz naturel,Chaudière gaz à condensation 2001-2015,2064.9,568.3,10.6,2691.7,32.0,D,71390.0,Buxy
31.0,2012.0,2006-2012,appartement,Électricité,Autres émetteurs à effet joule,124.8,96.2,4.0,234.7,7.5,B,38000.0,Grenoble
70.6,2015.0,2013-2021,appartement,Gaz naturel,Chaudière gaz standard 2001-2015,1500.2,481.4,9.4,2032.5,28.8,C,37100.0,Tours
119.2,1947.0,avant 1948,appartement,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",336.5,127.2,15.6,507.3,4.0,A,30110.0,Laval-Pradel
82.0,,1948-1974,appartement,Gaz naturel,Chaudière gaz standard 2001-2015,1285.7,1535.1,10.7,2862.0,34.0,D,77300.0,Fontainebleau
92.4,1982.0,1978-1982,maison,Électricité,"radiateur électrique NFC, NF** et NF***",657.8,129.1,12.0,818.5,8.8,B,56160.0,Ploërdut
123.0,1927.0,avant 1948,maison,Électricité,Radiateur électrique à accumulation,1500.5,137.0,16.7,1673.8,13.0,C,24200.0,Sarlat-la-Canéda
35.7,1948.0,1948-1974,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",149.0,90.6,4.7,244.3,6.0,A,13670.0,Saint-Andiol
19.0,,2006-2012,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",49.7,73.3,2.5,132.9,6.0,A,95800.0,Cergy
64.0,,1975-1977,maison,Fioul domestique,Chaudière fioul standard 1991-2015,5138.2,117.5,8.3,5313.2,83.0,F,78200.0,Buchelay
52.0,1979.0,1978-1982,appartement,Gaz naturel,Chaudière gaz standard 2001-2015,1149.4,312.4,6.8,1519.2,29.0,C,6200.0,Nice
121.6,1947.0,avant 1948,maison,Gaz naturel,Chaudière gaz basse température 2001-2015,2853.4,57.3,16.6,2978.3,24.0,C,46800.0,Barguelonne-en-Quercy
270.9,1948.0,1948-1974,maison,Fioul domestique,Chaudière fioul à condensation 1996-2015,13343.3,1427.6,34.8,14876.7,54.9,E,71520.0,Trambly
88.0,1950.0,1948-1974,maison,Gaz naturel,Chaudière gaz basse température 2001-2015,4756.1,499.5,11.1,5279.1,59.9,E,57690.0,Créhange
136.6,1532.0,avant 1948,maison,Électricité,"Convecteur électrique NFC, NF** et NF***",836.0,152.3,18.2,1034.1,7.5,B,16200.0,Mérignac
38.0,1947.0,avant 1948,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",334.6,116.7,4.9,475.5,12.0,C,51000.0,Châlons-en-Champagne
70.9,1970.0,1948-1974,appartement,Gaz naturel,Chaudière gaz standard 2001-2015,2270.4,422.8,9.2,2740.5,38.0,D,91240.0,Saint-Michel-sur-Orge
40.4,2006.0,2006-2012,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",26.3,20.9,5.3,67.4,1.0,A,6600.0,Antibes
90.2,1967.0,1948-1974,maison,Gaz naturel,Chaudière gaz à condensation après 2015,4320.5,131.8,11.8,4506.6,49.0,D,29260.0,Le Folgoët
74.8,1948.0,1948-1974,appartement,Gaz naturel,Chaudière gaz à condensation 2001-2015,2393.5,450.5,10.2,2894.3,38.0,D,33600.0,Pessac
45.2,1966.0,1948-1974,appartement,Gaz naturel,Chaudière gaz standard après 2015,1126.2,967.2,6.0,2110.7,46.0,D,85000.0,Mouilleron-le-Captif
82.7,2018.0,2013-2021,maison,Électricité,Chaudière électrique,216.4,114.0,10.8,361.3,4.3,A,35133.0,Landéan
111.6,1930.0,avant 1948,maison,Fioul domestique,Chaudière fioul standard 1991-2015,5925.9,604.1,14.6,6565.4,58.8,E,62116.0,Bucquoy
44.0,1948.0,1948-1974,appartement,Gaz naturel,Chaudière gaz classique 1986-1990,2023.7,488.4,5.5,2555.6,58.0,E,67240.0,Bischwiller
60.0,2005.0,2001-2005,maison,Électricité,"Convecteur électrique NFC, NF** et NF***",1.9,2.3,0.1,273.0,4.5,A,56380.0,Guer
38.2,,1948-1974,appartement,Gaz naturel,Chaudière gaz standard 1991-2000,2291.9,108.0,4.9,2415.1,63.0,E,73000.0,Chambéry
86.0,1947.0,avant 1948,maison,Gaz naturel,Chaudière gaz standard 2001-2015,5389.4,443.2,11.0,5900.9,68.0,E,42300.0,Roanne
110.8,2013.0,2013-2021,maison,Gaz naturel,Chaudière gaz à condensation après 2015,1102.8,402.4,13.9,1538.9,13.0,C,57340.0,Morhange
60.3,,1948-1974,appartement,Électricité,PAC air/air installée avant 2008,160.9,106.2,7.9,285.5,4.0,A,13010.0,Marseille
43.7,2009.0,2006-2012,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",120.9,108.0,5.7,248.6,5.0,A,56890.0,Saint-Avé
79.0,,1978-1982,appartement,Gaz naturel,Chaudière gaz à condensation 2001-2015,2764.3,99.3,9.9,2894.2,36.0,D,57170.0,Château-Salins
81.4,1999.0,1989-2000,appartement,Gaz naturel,Chaudière gaz à condensation 2001-2015,1467.2,481.9,10.2,1988.2,24.0,C,45770.0,Saran
40.5,1992.0,1989-2000,appartement,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",5.8,3.5,0.1,364.3,9.0,B,,
38.9,2013.0,2013-2021,appartement,Électricité,"radiateur électrique NFC, NF** et NF***",35.5,865.4,5.1,913.2,23.0,C,83250.0,La Londe-les-Maures
50.0,1947.0,avant 1948,appartement,Fioul domestique,Chaudière fioul standard 1991-2015,2561.0,150.2,6.8,2749.5,54.9,E,46500.0,Gramat
101.0,1900.0,avant 1948,maison,Bois – Bûches,Poêle bûche installé entre 1990 et 2004,6920.2,118.8,12.7,7051.8,69.8,E,70120.0,La Roche-Morey
56.0,1948.0,1948-1974,appartement,Gaz naturel,Chaudière gaz basse température 2001-2015,1531.3,117.6,7.2,1692.3,30.0,D,69400.0,Villefranche-sur-Saône
68.3,1945.0,avant 1948,appartement,Gaz naturel,Chaudière gaz standard 2001-2015,1994.4,624.7,8.6,2663.7,39.0,D,67400.0,Illkirch-Graffenstaden
182.9,,avant 1948,appartement,Gaz naturel,Chaudière gaz à condensation 2001-2015,9246.7,649.0,23.9,9956.4,54.0,E,75008.0,Paris
79.9,1948.0,1948-1974,maison,Fioul domestique,Chaudière fioul basse température après 2015,6513.1,698.2,10.2,7242.0,90.0,F,19340.0,Merlines
111.8,1997.0,1989-2000,maison,Bois – Bûches,insert installé entre 1990 et 2004,612.2,158.4,15.2,785.7,7.0,B,64870.0,Escout
47.7,1989.0,1989-2000,appartement,Électricité,"radiateur électrique NFC, NF** et NF***",180.0,92.3,6.2,298.8,6.0,B,13090.0,Aix-en-Provence
140.3,,avant 1948,maison,Électricité,Radiateur électrique à accumulation,756.6,155.9,18.0,958.5,6.0,B,42600.0,Montbrison
28.4,2006.0,2006-2012,appartement,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",78.5,100.0,3.7,191.4,6.0,A,34500.0,Béziers
83.0,1973.0,1948-1974,maison,Fioul domestique,Chaudière fioul standard 1991-2015,10255.6,1006.0,10.8,11310.4,136.2,G,27800.0,Harcourt
54.0,,1978-1982,appartement,Gaz naturel,Chaudière gaz à condensation 2001-2015,1731.7,432.1,7.2,40.9,40.9,D,44220.0,Couëron
212.0,,1978-1982,maison,Électricité,Radiateur électrique à accumulation,1499.6,171.6,27.6,1735.3,8.0,B,78490.0,Les Mesnuls
27.8,1978.0,1978-1982,appartement,Gaz naturel,Chaudière gaz standard 1991-2000,11.9,4.6,0.1,1333.3,47.9,D,14150.0,Ouistreham
65.4,1948.0,1948-1974,appartement,Électricité,PAC air/air installée à partir de 2015,127.7,107.2,8.6,265.2,4.0,A,13140.0,Miramas
79.8,1948.0,1948-1974,appartement,Gaz naturel,Chaudière gaz classique 1981-1985,3798.8,680.7,10.9,4505.5,56.0,E,40110.0,Morcenx-la-Nouvelle
71.9,1970.0,1948-1974,appartement,Réseau de Chauffage urbain,Réseau de chaleur isolé,1375.3,1210.8,9.0,36.8,36.7,D,56470.0,Saint-Philibert
11.6,1900.0,avant 1948,appartement,Gaz naturel,Chaudière gaz à condensation 2001-2015,327.0,47.1,1.5,389.0,33.6,C,75013.0,Paris
78.0,1948.0,1948-1974,appartement,Gaz naturel,Chaudière gaz à condensation 2001-2015,1296.3,434.4,10.2,1792.1,22.0,C,92370.0,Chaville
60.1,1947.0,avant 1948,appartement,Réseau de Chauffage urbain,Réseau de chaleur non isolé,3155.3,392.0,7.8,3604.6,59.0,E,78000.0,Versailles
110.1,,avant 1948,maison,Électricité,PAC air/eau installée après 2017,217.5,39.4,15.0,319.9,2.0,A,33790.0,Pellegrue
35.7,2008.0,2006-2012,appartement,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",65.6,95.9,4.9,177.6,4.9,A,32120.0,Mauvezin
56.7,1900.0,avant 1948,appartement,Électricité,"Panneau rayonnant électrique NFC, NF** et NF***",484.4,103.3,7.4,594.9,10.5,B,13005.0,Marseille
77.0,1948.0,1948-1974,appartement,Gaz naturel,Chaudière gaz basse température 2001-2015,2450.1,471.5,10.5,2944.8,38.0,D,9100.0,Pamiers
134.5,,1948-1974,maison,Électricité,PAC air/air installée avant 2008,659.9,153.8,17.3,998.1,7.0,B,74330.0,Choisy
67.0,1949.0,1948-1974,maison,Électricité,"radiateur électrique NFC, NF** et NF***",690.8,109.4,8.9,845.5,12.6,C,49800.0,Loire-Authion
102.8,1948.0,1948-1974,appartement,Électricité,PAC air/air installée à partir de 2015,590.2,137.0,13.5,749.4,7.2,B,30140.0,Saint-Jean-du-Pin
130.0,1947.0,avant 1948,maison,Gaz naturel,Chaudière gaz à condensation 1986-2000,1976.8,834.4,16.7,2875.6,22.0,C,21310.0,Beire-le-Châtel
68.7,2001.0,2001-2005,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",248.1,76.3,9.4,360.4,5.0,A,33130.0,Bègles
74.0,1968.0,1948-1974,appartement,Gaz naturel,Chaudière(s) gaz multi bâtiment modélisée comme un réseau de chaleur,2825.9,132.5,9.6,2981.3,40.2,D,95400.0,Villiers-le-Bel
47.0,1995.0,1989-2000,appartement,Électricité,"Convecteur électrique NFC, NF** et NF***",198.7,125.7,6.1,348.6,7.0,B,75010.0,Paris
76.1,1955.0,1948-1974,appartement,Réseau de Chauffage urbain,Réseau de chaleur non isolé,770.3,426.4,2.7,1121.6,14.6,C,44400.0,Rezé
17.8,1967.0,1948-1974,appartement,Fioul domestique,Chaudière fioul classique 1981-1990,3461.3,95.1,2.3,3572.3,200.0,G,38860.0,Les Deux Alpes
